datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/29/2020 1:00,9/28/2020 21:00,WEST,-0.249
9/29/2020 1:00,9/28/2020 21:00,RTO,-3.347
9/29/2020 1:00,9/28/2020 21:00,RFC,-1.401
9/29/2020 1:00,9/28/2020 21:00,OTHER,0
9/29/2020 0:00,9/28/2020 20:00,MIDATL,-1.15
9/29/2020 0:00,9/28/2020 20:00,SOUTH,-1.919
9/29/2020 0:00,9/28/2020 20:00,WEST,-0.253
9/29/2020 0:00,9/28/2020 20:00,RTO,-3.322
9/29/2020 0:00,9/28/2020 20:00,RFC,-1.403
9/29/2020 0:00,9/28/2020 20:00,OTHER,0
9/28/2020 23:00,9/28/2020 19:00,MIDATL,-1.093
9/28/2020 23:00,9/28/2020 19:00,SOUTH,-1.929
9/28/2020 23:00,9/28/2020 19:00,WEST,-0.221
9/28/2020 23:00,9/28/2020 19:00,RTO,-3.243
9/28/2020 23:00,9/28/2020 19:00,RFC,-1.314
9/28/2020 23:00,9/28/2020 19:00,OTHER,0
9/28/2020 22:00,9/28/2020 18:00,MIDATL,17.184
9/28/2020 22:00,9/28/2020 18:00,SOUTH,59.107
9/28/2020 22:00,9/28/2020 18:00,WEST,5.625
9/28/2020 22:00,9/28/2020 18:00,RTO,81.916
9/28/2020 22:00,9/28/2020 18:00,RFC,22.809
9/28/2020 22:00,9/28/2020 18:00,OTHER,0
9/28/2020 21:00,9/28/2020 17:00,MIDATL,167.544
9/28/2020 21:00,9/28/2020 17:00,SOUTH,337.881
9/28/2020 21:00,9/28/2020 17:00,WEST,21.081
9/28/2020 21:00,9/28/2020 17:00,RTO,526.506
9/28/2020 21:00,9/28/2020 17:00,RFC,188.625
9/28/2020 21:00,9/28/2020 17:00,OTHER,0
9/28/2020 20:00,9/28/2020 16:00,MIDATL,368.364
9/28/2020 20:00,9/28/2020 16:00,SOUTH,609.628
9/28/2020 20:00,9/28/2020 16:00,WEST,32.702
9/28/2020 20:00,9/28/2020 16:00,RTO,1010.694
9/28/2020 20:00,9/28/2020 16:00,RFC,401.066
9/28/2020 20:00,9/28/2020 16:00,OTHER,0
9/28/2020 19:00,9/28/2020 15:00,MIDATL,488.787
9/28/2020 19:00,9/28/2020 15:00,SOUTH,791.529
9/28/2020 19:00,9/28/2020 15:00,WEST,50.942
9/28/2020 19:00,9/28/2020 15:00,RTO,1331.258
9/28/2020 19:00,9/28/2020 15:00,RFC,539.729
9/28/2020 19:00,9/28/2020 15:00,OTHER,0
9/28/2020 18:00,9/28/2020 14:00,MIDATL,557.94
9/28/2020 18:00,9/28/2020 14:00,SOUTH,846.886
9/28/2020 18:00,9/28/2020 14:00,WEST,68.846
9/28/2020 18:00,9/28/2020 14:00,RTO,1473.672
9/28/2020 18:00,9/28/2020 14:00,RFC,626.786
9/28/2020 18:00,9/28/2020 14:00,OTHER,0
9/28/2020 17:00,9/28/2020 13:00,MIDATL,558.191
9/28/2020 17:00,9/28/2020 13:00,SOUTH,914.309
9/28/2020 17:00,9/28/2020 13:00,WEST,77.735
9/28/2020 17:00,9/28/2020 13:00,RTO,1550.235
9/28/2020 17:00,9/28/2020 13:00,RFC,635.926
9/28/2020 17:00,9/28/2020 13:00,OTHER,0
9/28/2020 16:00,9/28/2020 12:00,MIDATL,549.304
9/28/2020 16:00,9/28/2020 12:00,SOUTH,933.439
9/28/2020 16:00,9/28/2020 12:00,WEST,83.197
9/28/2020 16:00,9/28/2020 12:00,RTO,1565.94
9/28/2020 16:00,9/28/2020 12:00,RFC,632.501
9/28/2020 16:00,9/28/2020 12:00,OTHER,0
9/28/2020 15:00,9/28/2020 11:00,MIDATL,463.333
9/28/2020 15:00,9/28/2020 11:00,SOUTH,930.757
9/28/2020 15:00,9/28/2020 11:00,WEST,79.249
9/28/2020 15:00,9/28/2020 11:00,RTO,1473.339
9/28/2020 15:00,9/28/2020 11:00,RFC,542.582
9/28/2020 15:00,9/28/2020 11:00,OTHER,0
